"PNAME","TITLE_RAW","TOT.HOURS","TOT.COMP","title.standard","TitleTxt6","TitleTxt5","TitleTxt4","TitleTxt3","TitleTxt2","OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","F9_07_COMP_DTK_TITLE","F9_07_COMP_DTK_AVE_HOUR_WEEK","F9_07_COMP_DTK_AVE_HOUR_WEEK_RL","F9_07_COMP_DTK_POS_INDIV_TRUST_X","F9_07_COMP_DTK_POS_OFF_X","F9_07_COMP_DTK_COMP_ORG","F9_07_COMP_DTK_COMP_RLTD","F9_07_COMP_DTK_COMP_OTH","F9_07_COMP_DTK_POS_KEY_EMPL_X","F9_07_COMP_DTK_POS_INST_TRUST_X","F9_07_COMP_DTK_POS_HIGH_COMP_X","F9_07_COMP_DTK_EMPL_BEN","F9_07_COMP_DTK_POS_FORMER_X","date.x","Num.Titles","SCHED.O","SCHED.AT.LARGE","AS.NEEDED","EX.OFFICIO","CO","REGIONAL","FUTURE","FORMER","INTERIM","domain.category","domainl.label","soc.label","major.group","minor.group","broad.group","detailed.occupation","emp","ceo","c.level","dir.vp","mgr","spec","board","pres","vp","sec","treas","com"
"GORDON SMITH","Vice President","55","1424872","VICE PRESIDENT","VICE PRESIDENT","VICE PRESIDENT","VICE PRESIDENT","VICE PRESIDENT","VICE PRESIDENT","201903199349302420","271368195","USTA PLAYER DEVELOPMENT INCORPORATED","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903199349302420_public.xml","VICE PRESIDENT","5","50","0","1","0","1265279","159593","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","operations","administration","General and operations manager","11","11-1000","11-1020","11-1021","X","","","X","","","","","","","",""
"LESLIE HURTIG","SECRETARY","55","186116","BOARD SECRETARY","SECRETARY","SECRETARY","SECRETARY","SECRETARY","SECRETARY","202021929349301857","752974931","PENN PRAXIS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202021929349301857_public.xml","SECRETARY","1","54","1","1","0","161516","24600","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","X","",""
"TAMARA WINFREY-HARRIS","VP OF COMMUNITY LEADERSHIP","41","139600",NA,"VICE PRESIDENT OF COMMUNICATIONS LEADERSHIP","VICE PRESIDENT OF COMMUNICATIONS LEADERSHIP","VP OF COMMUNITY LEADERSHIP","VP OF COMMUNITY LEADERSHIP","VP OF COMMUNITY LEADERSHIP","201903199349306025","351793680","Central Indiana Community Foundation Inc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903199349306025_public.xml","VP OF COMMUNITY LEADERSHIP","24","17","0","1","69809","46540","23251","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHRISTOPHER HUNT","EXECUTIVE VICE PRESIDENT","40","207813","EXECUTIVE VICE PRESIDENT","EXECUTIVE VICE PRESIDENT","EXECUTIVE VICE PRESIDENT","EXECUTIVE VICE PRESIDENT","EXECUTIVE VICE PRESIDENT","EXECUTIVE VICE PRESIDENT","201932109349300538","043328276","INFUSION NURSES CERTIFICATION CORP INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201932109349300538_public.xml","EXECUTIVE VICE PRESIDENT","40","0","0","1","0","207813","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","operations","administration","General and operations manager","11","11-1000","11-1020","11-1021","X","","","X","","","","","","","",""
"Jerome Shaffer CPS","Board Member Treasurer and CFO","40","300055",NA,"BOARD MEMBER TREASURER AND CFO","BOARD MEMBER TREASURER AND CFO","BOARD MEMBER TREASURER AND CFO","BOARD MEMBER TREASURER AND CFO","BOARD MEMBER TREASURER AND CFO","202021909349301007","208295721","UPMC GROUP","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202021909349301007_public.xml","BOARD MEMBER TREASURER AND CFO","40","0","1","1","259186","0","40869","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WILLIAM HOLLENBECK","VP OF SHARED SERVICES","40","22212",NA,"VICE PRESIDENT OF SHARED SERVICES","VICE PRESIDENT OF SHARED SERVICES","VP OF SHARED SERVICES","VP OF SHARED SERVICES","VP OF SHARED SERVICES","201902739349301400","452195368","ST JOHN'S PENFIELD HOMES CORPORATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902739349301400_public.xml","VP OF SHARED SERVICES","1","39","0","1","0","22212","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RICHARD HUDSPETH","CHIEF EXECUTIVE OFFICER/CHIEF MEDICAL OFFICER","40","232854","CEO","CEO","CEO","CHIEF EXECUTIVE OFFICER","CHIEF EXECUTIVE OFFICER&CHIEF MEDICAL OFFICER","CHIEF EXECUTIVE OFFICER/CHIEF MEDICAL OFFICER","201943119349301384","560794933","BLUE RIDGE COMMUNITY HEALTH SERVICES INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943119349301384_public.xml","CHIEF EXECUTIVE OFFICER/CHIEF MEDICAL OFFICER","40","0","0","1","218638","0","14216","0","0","0",NA,"0","0","2","0","0","0","0","0","0","0","0","0","operations","administration","Chief executives","11","11-1000","11-1010","11-1011","X","X","","","","","","","","","",""
"RICHARD HUDSPETH","CHIEF EXECUTIVE OFFICER/CHIEF MEDICAL OFFICER","40","232854",NA,"CHIEF MEDICAL OFFICER","CHIEF MEDICAL OFFICER","CHIEF MEDICAL OFFICER","CHIEF EXECUTIVE OFFICER&CHIEF MEDICAL OFFICER","CHIEF EXECUTIVE OFFICER/CHIEF MEDICAL OFFICER","201943119349301384","560794933","BLUE RIDGE COMMUNITY HEALTH SERVICES INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943119349301384_public.xml","CHIEF EXECUTIVE OFFICER/CHIEF MEDICAL OFFICER","40","0","0","1","218638","0","14216","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRUDY MURRAY","INTERIM EXEC","40","60777","BOARD MEMBER","EXECUTIVE","INTERIM EXECUTIVE","INTERIM EXEC","INTERIM EXEC","INTERIM EXEC","201943539349300604","566067763","EASTERN CAROLINA HUMAN SERVICES","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943539349300604_public.xml","INTERIM EXEC","40","0","0","1","60777","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","1","board","board","","","","","","","","","","","","X","","","","",""
"FAITH NUTZ","ASST. SEC/TR","40","133516","ASSISTANT SECRETARY","ASSISTANT SECRETARY","ASSISTANT SECRETARY","ASST SEC","ASST SEC&TR","ASST SEC/TR","201903159349303335","581876012","CONROE VOA ELDERLY HOUSING INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903159349303335_public.xml","ASST SEC/TR","0","40","0","1","0","114887","18629","0","0","0",NA,"0","0","2","0","0","0","0","0","0","0","0","0","operations","administration","Secretaries and administrative assistants","43","43-6000","43-6010","","X","","","","","X","","","","","",""
"FAITH NUTZ","ASST. SEC/TR","40","133516","TREASURER","TREASURER","TREASURER","TR","ASST SEC&TR","ASST SEC/TR","201903159349303335","581876012","CONROE VOA ELDERLY HOUSING INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903159349303335_public.xml","ASST SEC/TR","0","40","0","1","0","114887","18629","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","X",""
"Pat L Wheeler","President","40","16734","BOARD PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","201902109349200415","753023308","Orphans Assistance and Rescue Inc","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902109349200415_public.xml","PRESIDENT","40","0",NA,NA,"7734",NA,"0",NA,NA,NA,"9000",NA,"0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","X","","","",""
"Pat L Wheeler","President","40","16734","CEO","PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","201902109349200415","753023308","Orphans Assistance and Rescue Inc","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902109349200415_public.xml","PRESIDENT","40","0",NA,NA,"7734",NA,"0",NA,NA,NA,"9000",NA,"0","1","0","0","0","0","0","0","0","0","0","operations","administration","Chief executives","11","11-1000","11-1010","11-1011","X","X","","","","","","","","","",""
"Richard C Brown","Secretary-Treas","40","0",NA,"SECRETARY-TREASURER","SECRETARY-TREASURER","SECRETARY-TREAS","SECRETARY-TREAS","SECRETARY-TREAS","201943199349315059","815353529","UCB International Ministries","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349315059_public.xml","SECRETARY-TREAS","40","0","0","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BARRY V GAY","FORMER EXEC.","40","20731","BOARD MEMBER","EXECUTIVE","FORMER EXECUTIVE","FORMER EXEC","FORMER EXEC","FORMER EXEC","202011779349300036","990326282","NA HOALOHA-MAUI INTERFAITH","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202011779349300036_public.xml","FORMER EXEC","40","0","0","1","20731","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","1","0","board","board","","","","","","","","","","","","X","","","","",""
"TONYA MADDOX","SECRETARY","30","12775","BOARD SECRETARY","SECRETARY","SECRETARY","SECRETARY","SECRETARY","SECRETARY","201902599349301450","463340123","EAGLES NEST REGENERATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902599349301450_public.xml","SECRETARY","30","0","1","1","12775","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","X","",""
"Woodie Speed","Show Announcer","25","5600",NA,"SHOW ANNOUNCER","SHOW ANNOUNCER","SHOW ANNOUNCER","SHOW ANNOUNCER","SHOW ANNOUNCER","201942919349300739","593487826","Pinellas County Hunter AssociationInc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942919349300739_public.xml","SHOW ANNOUNCER","25","0","0","0","5600","0","0","0","0","1",NA,"0","0","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
