"EIN2","OBJECTID","ORG_EIN","ORG_NAME_L1","ORG_NAME_L2","RETURN_AMENDED_X","RETURN_GROUP_X","RETURN_PARTIAL_X","RETURN_TAXPER_DAYS","RETURN_TIME_STAMP","RETURN_TYPE","TAX_PERIOD_BEGIN_DATE","TAX_PERIOD_END_DATE","TAX_YEAR","URL","VERSION","TABLE_ID","F9_07_COMP_DTK_EMPL_BEN","F9_07_COMP_DTK_NAME_ORG_L1","F9_07_COMP_DTK_NAME_ORG_L2","F9_07_COMP_DTK_NAME_PERS","F9_07_COMP_DTK_TITLE","F9_07_COMP_DTK_AVE_HOUR_WEEK","F9_07_COMP_DTK_AVE_HOUR_WEEK_RL","F9_07_COMP_DTK_POS_INDIV_TRUST_X","F9_07_COMP_DTK_POS_INST_TRUST_X","F9_07_COMP_DTK_POS_OFF_X","F9_07_COMP_DTK_POS_KEY_EMPL_X","F9_07_COMP_DTK_POS_HIGH_COMP_X","F9_07_COMP_DTK_POS_FORMER_X","F9_07_COMP_DTK_COMP_ORG","F9_07_COMP_DTK_COMP_RLTD","F9_07_COMP_DTK_COMP_OTH"
"EIN-75-2770812","OID-202400519349300925","752770812","COMMUNITY PARTNERS OF LUBBOCK","","FALSE","FALSE","FALSE","365","2024-02-20T20:06:07Z","990","2023-01-01","2023-12-31","2023","https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202400519349300925_public.xml","2023v4.0","TID-00002","","","","JASON POTTER","VICE PRESIDENT","0","","","","X","","","","0","0","0"
"EIN-75-2770812","OID-202400519349300925","752770812","COMMUNITY PARTNERS OF LUBBOCK","","FALSE","FALSE","FALSE","365","2024-02-20T20:06:07Z","990","2023-01-01","2023-12-31","2023","https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202400519349300925_public.xml","2023v4.0","TID-00001","","","","TYLER YOUNG","PRESIDENT","0","","","","X","","","","0","0","0"
"EIN-75-2770812","OID-202400519349300925","752770812","COMMUNITY PARTNERS OF LUBBOCK","","FALSE","FALSE","FALSE","365","2024-02-20T20:06:07Z","990","2023-01-01","2023-12-31","2023","https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202400519349300925_public.xml","2023v4.0","TID-00004","","","","AMANDA GANDY","TREASURER","0","","","","X","","","","0","0","0"
"EIN-75-2770812","OID-202400519349300925","752770812","COMMUNITY PARTNERS OF LUBBOCK","","FALSE","FALSE","FALSE","365","2024-02-20T20:06:07Z","990","2023-01-01","2023-12-31","2023","https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202400519349300925_public.xml","2023v4.0","TID-00003","","","","CORY NEAL","SECRETARY","0","","","","X","","","","0","0","0"
"EIN-47-1040215","OID-202400649349200725","471040215","IRON RAMS INC","","FALSE","FALSE","FALSE","365","2024-03-04T20:46:51Z","990EZ","2023-01-01","2023-12-31","2023","https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202400649349200725_public.xml","2023v4.0","TID-00003","","","","JACOB HELVEY","TREASURER","1","","","","","","","","0","",""
"EIN-47-1040215","OID-202400649349200725","471040215","IRON RAMS INC","","FALSE","FALSE","FALSE","365","2024-03-04T20:46:51Z","990EZ","2023-01-01","2023-12-31","2023","https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202400649349200725_public.xml","2023v4.0","TID-00001","","","","BENJAMIN SMITH","PRESIDENT","1","","","","","","","","0","",""
"EIN-47-1040215","OID-202400649349200725","471040215","IRON RAMS INC","","FALSE","FALSE","FALSE","365","2024-03-04T20:46:51Z","990EZ","2023-01-01","2023-12-31","2023","https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202400649349200725_public.xml","2023v4.0","TID-00002","","","","JESSMAN SMITH","VICE PRESIDE","1","","","","","","","","0","",""
"EIN-45-0542815","OID-202400649349300600","450542815","TEACHERS SUPPLY CLOSET","","FALSE","FALSE","FALSE","365","2024-03-04T12:31:50Z","990","2023-01-01","2023-12-31","2023","https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202400649349300600_public.xml","2023v4.0","TID-00001","","","","Lynette V Duggins","Executive Dir.","40","0","X","","","","","","70098","0","0"
"EIN-45-0542815","OID-202400649349300600","450542815","TEACHERS SUPPLY CLOSET","","FALSE","FALSE","FALSE","365","2024-03-04T12:31:50Z","990","2023-01-01","2023-12-31","2023","https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202400649349300600_public.xml","2023v4.0","TID-00002","","","","Michelle Orr Noisette","Chairman","0","0","","","X","","","","0","0","0"
"EIN-45-0542815","OID-202400649349300600","450542815","TEACHERS SUPPLY CLOSET","","FALSE","FALSE","FALSE","365","2024-03-04T12:31:50Z","990","2023-01-01","2023-12-31","2023","https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202400649349300600_public.xml","2023v4.0","TID-00003","","","","Terri H Nichols","Chairman","0","0","","","X","","","","0","0","0"
