"status.variant","status.qualifier"
"AS NEEDED","AT LARGE"
"AT LARGE","AT LARGE"
"AT-LARGE","AT LARGE"
"PROXY","AT LARGE"
"AT LG","AT LARGE"
"CURRENT","CURRENT"
"EX OFFICIO","EXOFFICIO"
"EX-OFFICIO","EXOFFICIO"
"EXOFFICIO","EXOFFICIO"
"OFFICIO","EXOFFICIO"
"CEASED","FORMER"
"DECEASED","FORMER"
"EMERITUS","FORMER"
"FORMER","FORMER"
"FRMR","FORMER"
"IMMED PAST","FORMER"
"IMMEDIATE","FORMER"
"IMMEDIATE PA","FORMER"
"IMMEDIATE PAST","FORMER"
"PAST","FORMER"
"IMMED PAST","FORMER"
"PREVIOUS","FORMER"
"PRIOR","FORMER"
"RETIRED","FORMER"
"FOUNDER","FOUNDER"
"FOUNDING","FOUNDER"
"CO-FOUNDER","FOUNDER"
"CO-FOUNDING","FOUNDER"
"AFTER","FUTURE"
"BEG","FUTURE"
"BEGAN","FUTURE"
"BEGI","FUTURE"
"BEGIN","FUTURE"
"BEGINNING","FUTURE"
"EFF","FUTURE"
"EFFECTIVE","FUTURE"
"EL","FUTURE"
"ELECT","FUTURE"
"ENTER","FUTURE"
"ENTERED","FUTURE"
"FRO","FUTURE"
"FROM","FUTURE"
"FUTURE","FUTURE"
"INCOMING","FUTURE"
"NEW","FUTURE"
"SIN","FUTURE"
"START","FUTURE"
"STARTED","FUTURE"
"STARTING","FUTURE"
"TERM BEG","FUTURE"
"TERM BEGIN","FUTURE"
"TERM BEGINNING","FUTURE"
"TERM START","FUTURE"
"TERM STARTED","FUTURE"
"THEN","FUTURE"
"AS OF","FUTURE"
"SINCE","FUTURE"
"APPT","FUTURE"
"INT","INTERIM"
"INTERIM","INTERIM"
"PRESENT","INTERIM"
"ACTING","INTERIM"
"TEMP","INTERIM"
"TEMPORARY","INTERIM"
"END DATE","OUTGOING"
"END","OUTGOING"
"ENDED","OUTGOING"
"ENDING","OUTGOING"
"EX","OUTGOING"
"EXITED","OUTGOING"
"EXIT","OUTGOING"
"EXPIRE","OUTGOING"
"EXPIRED","OUTGOING"
"EXPIRING","OUTGOING"
"LEAVING","OUTGOING"
"LEFT","OUTGOING"
"OUTGOING","OUTGOING"
"OUTGO","OUTGOING"
"RESIGN","OUTGOING"
"RESIGNED","OUTGOING"
"RESIGNING","OUTGOING"
"RETIRING","OUTGOING"
"ROLLED OFF","OUTGOING"
"TERM","OUTGOING"
"TERMED","OUTGOING"
"TERM END","OUTGOING"
"TERM ENDED","OUTGOING"
"TERM EXPIRED","OUTGOING"
"TERMINATED","OUTGOING"
"THR","OUTGOING"
"THROUGH","OUTGOING"
"THRU","OUTGOING"
"TIL","OUTGOING"
"UNT","OUTGOING"
"UNTIL","OUTGOING"
"UP TO","OUTGOING"
"UP UNTIL","OUTGOING"
"PART YEAR","PARTIAL"
"PARTIAL YEAR","PARTIAL"
"PARTIAL YR","PARTIAL"
"PART YR","PARTIAL"
"YEAR","PARTIAL"
"YR","PARTIAL"
"PART-YEAR","PARTIAL"
"MONTHS","PARTIAL"
"MONTH","PARTIAL"
"MOS","PARTIAL"
"AFRICA","REGIONAL"
"ALABAMA","REGIONAL"
"ALASKA","REGIONAL"
"ALBUQUERQUE","REGIONAL"
"AMERICA","REGIONAL"
"AREA","REGIONAL"
"ARIZONA","REGIONAL"
"ARKANSAS","REGIONAL"
"ARLINGTON","REGIONAL"
"ASIA","REGIONAL"
"ATLANTA","REGIONAL"
"AUSTIN","REGIONAL"
"AUSTRALIA","REGIONAL"
"BAKERSFIELD","REGIONAL"
"BALTIMORE","REGIONAL"
"BOSTON","REGIONAL"
"CALIFORNIA","REGIONAL"
"CANADA","REGIONAL"
