"title.variant","title.standard","strata","strata.label"
"ACCOUNTANT","ACCOUNTANT","",""
"ACCOUNTING DIRECTOR","ACCOUNTING DIRECTOR","",""
"ACTOR","ACTOR","",""
"ADMINISTRATION OFFICER","ADMINISTRATION OFFICER","",""
"ADMINISTRATION ASSISTANT","ADMINISTRATIVE ASSISTANT","",""
"ADMINISTRATIVE ASSISTANT","ADMINISTRATIVE ASSISTANT","",""
"ADMINISTRATION","ADMINISTRATOR","",""
"ADMINISTRATOR","ADMINISTRATOR","",""
"MUSEUM ADMINISTRATOR","ADMINISTRATOR","",""
"REGIONAL ADMINISTRATION","ADMINISTRATOR","regional","regional"
"KENNEL TECHNOLOGY AND ADOPTION COUNSELOR","ADOPTION COUNSELOR","",""
"ADVISOR AND","ADVISOR","",""
"ADVISOR PENN UNIV","ADVISOR","",""
"ALT","ALTERNATE","",""
"ALTERNATE","ALTERNATE","duplex","alternate"
"AMBASSADOR","AMBASSADOR","",""
"ANALYST LBA","ANALYST","",""
"ARCHITECT","ARCHITECT","",""
"ARCHIVES DIRECTOR","ARCHIVES DIRECTOR","",""
"ARCHIVIST","ARCHIVIST","",""
"ARTIST","ARTIST","",""
"EXECUTIVE ARTIST","ARTIST","superior","executive"
"ARTISTIC DIRECTOR","ARTISTIC DIRECTOR","",""
"ASSOCIATE ARTISTIC DIRECTOR","ARTISTIC DIRECTOR","subordinate","associate"
"EXECUTIVE ARTISTIC DIRECTOR","ARTISTIC DIRECTOR","superior","executive"
"FOUNDING ARTISTIC DIRECTOR","ARTISTIC DIRECTOR","",""
"MANAGING ARTISTIC DIRECTOR","ARTISTIC DIRECTOR","superior","managing"
"PRODUCING ARTISTIC DIRECTOR","ARTISTIC DIRECTOR","",""
"ARTISTIC LIAISON","ARTISTIC LIAISON","",""
"ASSISTANT","ASSISTANT","",""
"ASSISTANT TO PRESIDENT","ASSISTANT","",""
"GOLF PRO","ATHLETE","",""
"TENNIS PRO","ATHLETE","",""
"ATTORNEY","ATTORNEY","",""
"AUDITOR","AUDITOR","",""
"BAND DIRECTOR","BAND DIRECTOR","",""
"ACTIVITIES CHAIR","BOARD MEMBER","committee","chair"
"AD HOC","BOARD MEMBER","duplex","adhoc"
"ADIVSORY BOARD","BOARD MEMBER","subordinate","advisory"
"ADJUNCT TRUSTEE","BOARD MEMBER","",""
"ADMINISTRATION COMMITTEE","BOARD MEMBER","",""
"ADULT TEAMS DOCENT COUNCIL","BOARD MEMBER","",""
"ADVANCEMENT BOARD","BOARD MEMBER","",""
"ADVISOR","BOARD MEMBER","",""
"ADVISORY","BOARD MEMBER","duplex","advisory"
"ADVISORY BOARD","BOARD MEMBER","duplex","advisory"
"ADVISORY BOARD CHAIR AND JWVA","BOARD MEMBER","committee","chair"
"ADVISORY BOARD MEMBER","BOARD MEMBER","duplex","advisory"
"ADVISORY COMMITTEE MEMBER","BOARD MEMBER","duplex","advisory"
"ADVISORY COUNCIL","BOARD MEMBER","duplex","advisory"
"ADVISORY DIRECTOR","BOARD MEMBER","",""
"ADVISORY MEMBER","BOARD MEMBER","duplex","advisory"
"ADVISORY TRUSTEE","BOARD MEMBER","duplex","advisory"
"ADVOCACY CHAIR","BOARD MEMBER","committee","chair"
"ADVOCATE","BOARD MEMBER","",""
"AFSCME CHAIR RU","BOARD MEMBER","",""
"ALT BOARD MEMBER","BOARD MEMBER","duplex","alternate"
"ALT TRUSTEE","BOARD MEMBER","",""
"ALTERNATE DIRECTOR","BOARD MEMBER","duplex","alternate"
"ALTERNATE TRUSTEE","BOARD MEMBER","",""
"ALTERNATIVE BOARD MEMBER","BOARD MEMBER","duplex","advisory"
"APPOINTED TRUSTEE","BOARD MEMBER","",""
"AR LARGE MEMBER","BOARD MEMBER","",""
"ARCHIVES CHAIR","BOARD MEMBER","committee","chair"
"ASSISTANT CHAIR","BOARD MEMBER","committee","chair"
