VARIANT,CANONICAL
FORMER,FORMER
PAST,FORMER
EMERITUS,FORMER
UNTIL,FORMER
TIL,FORMER
LEFT,FORMER
LEAVING,FORMER
TERM ENDED,FORMER
TERM END,FORMER
TERM EXPIRED,FORMER
EXPIRED,FORMER
ENDED,FORMER
END,FORMER
EXPIRE,FORMER
ENDING,FORMER
RETIRED,FORMER
RETIRING,FORMER
RESIGN,FORMER
RESIGNING,FORMER
RESIGNED,FORMER
CEASED,FORMER
PRIOR,FORMER
PREVIOUS,FORMER
THRU,FORMER
THROUGH,FORMER
OUTGOING,FORMER
EX,FORMER
THR,FORMER
ROLLED OFF,FORMER
INTERIM,INTERIM
ACTING,INTERIM
INT,INTERIM
TEMP,INTERIM
TEMPORARY,INTERIM
FUTURE,FUTURE
ELECT,FUTURE
FROM,FUTURE
SINCE,FUTURE
TERM BEGINNING,FUTURE
TERM BEGIN,FUTURE
TERM BEG,FUTURE
TERM STARTED,FUTURE
TERM START,FUTURE
BEGINNING,FUTURE
BEGIN,FUTURE
BEG,FUTURE
STARTED,FUTURE
START,FUTURE
INCOMING,FUTURE
AFTER,FUTURE
EFFECTIVE,FUTURE
EFF,FUTURE
THEN,FUTURE
TERMINATED,FORMER
