"MajorGroup","MinorGroup","BroadGroup","DetailedOccupation","LEV1","LEV2","LEV3","LEV4"
"SOC-11-0000","SOC-11-1000","SOC-11-1010","SOC-11-1011","Management Occupations","Top Executives","Chief Executives","Chief Executives"
"SOC-11-0000","SOC-11-1000","SOC-11-1020","SOC-11-1021","Management Occupations","Top Executives","General and Operations Managers","General and Operations Managers"
"SOC-11-0000","SOC-11-1000","SOC-11-1030","SOC-11-1031","Management Occupations","Top Executives","Legislators","Legislators"
"SOC-11-0000","SOC-11-2000","SOC-11-2010","SOC-11-2011","Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Advertising and Promotions Managers","Advertising and Promotions Managers"
"SOC-11-0000","SOC-11-2000","SOC-11-2020","SOC-11-2021","Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Marketing and Sales Managers","Marketing Managers"
"SOC-11-0000","SOC-11-2000","SOC-11-2020","SOC-11-2022","Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Marketing and Sales Managers","Sales Managers"
"SOC-11-0000","SOC-11-2000","SOC-11-2030","SOC-11-2033","Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Public Relations and Fundraising Managers","Fundraising Managers"
"SOC-11-0000","SOC-11-2000","SOC-11-2030","SOC-11-2032","Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Public Relations and Fundraising Managers","Public Relations Managers"
"SOC-11-0000","SOC-11-3000","SOC-11-3010","SOC-11-3012","Management Occupations","Operations Specialties Managers","Administrative Services and Facilities Managers","Administrative Services Managers"
"SOC-11-0000","SOC-11-3000","SOC-11-3010","SOC-11-3013","Management Occupations","Operations Specialties Managers","Administrative Services and Facilities Managers","Facilities Managers"
"SOC-11-0000","SOC-11-3000","SOC-11-3020","SOC-11-3021","Management Occupations","Operations Specialties Managers","Computer and Information Systems Managers","Computer and Information Systems Managers"
"SOC-11-0000","SOC-11-3000","SOC-11-3030","SOC-11-3031","Management Occupations","Operations Specialties Managers","Financial Managers","Financial Managers"
"SOC-11-0000","SOC-11-3000","SOC-11-3050","SOC-11-3051","Management Occupations","Operations Specialties Managers","Industrial Production Managers","Industrial Production Managers"
"SOC-11-0000","SOC-11-3000","SOC-11-3060","SOC-11-3061","Management Occupations","Operations Specialties Managers","Purchasing Managers","Purchasing Managers"
"SOC-11-0000","SOC-11-3000","SOC-11-3070","SOC-11-3071","Management Occupations","Operations Specialties Managers","Transportation, Storage, and Distribution Managers","Transportation, Storage, and Distribution Managers"
"SOC-11-0000","SOC-11-3000","SOC-11-3110","SOC-11-3111","Management Occupations","Operations Specialties Managers","Compensation and Benefits Managers","Compensation and Benefits Managers"
"SOC-11-0000","SOC-11-3000","SOC-11-3120","SOC-11-3121","Management Occupations","Operations Specialties Managers","Human Resources Managers","Human Resources Managers"
"SOC-11-0000","SOC-11-3000","SOC-11-3130","SOC-11-3131","Management Occupations","Operations Specialties Managers","Training and Development Managers","Training and Development Managers"
"SOC-11-0000","SOC-11-9000","SOC-11-9010","SOC-11-9013","Management Occupations","Other Management Occupations","Farmers, Ranchers, and Other Agricultural Managers","Farmers, Ranchers, and Other Agricultural Managers"
"SOC-11-0000","SOC-11-9000","SOC-11-9020","SOC-11-9021","Management Occupations","Other Management Occupations","Construction Managers","Construction Managers"
"SOC-11-0000","SOC-11-9000","SOC-11-9030","SOC-11-9033","Management Occupations","Other Management Occupations","Education and Childcare Administrators","Education Administrators, Postsecondary"
"SOC-11-0000","SOC-11-9000","SOC-11-9030","SOC-11-9039","Management Occupations","Other Management Occupations","Education and Childcare Administrators","Education Administrators, All Other"
"SOC-11-0000","SOC-11-9000","SOC-11-9030","SOC-11-9032","Management Occupations","Other Management Occupations","Education and Childcare Administrators","Education Administrators, Kindergarten through Secondary"
"SOC-11-0000","SOC-11-9000","SOC-11-9030","SOC-11-9031","Management Occupations","Other Management Occupations","Education and Childcare Administrators","Education and Childcare Administrators, Preschool and Daycare"
"SOC-11-0000","SOC-11-9000","SOC-11-9040","SOC-11-9041","Management Occupations","Other Management Occupations","Architectural and Engineering Managers","Architectural and Engineering Managers"
"SOC-11-0000","SOC-11-9000","SOC-11-9050","SOC-11-9051","Management Occupations","Other Management Occupations","Food Service Managers","Food Service Managers"
