"title.standard","domain.category","domain.label","soc.label","major.group","minor.group","broad.group","detailed.occupation","emp","ceo","c.level","dir.vp","mgr","spec","board","pres","vp","sec","treas","mem"
"ACCOUNTANT","operations","finance","Accountants and Auditors","13","13-2000","13-2010","13-2011","X","","","","","X","","","","","",""
"ACCOUNTING DIRECTOR","operations","finance","","","","","","X","","","X","","","","","","","",""
"ACTOR","industry-specific","arts and history","Actors, producers, and directors","27","27-2000","27-2010","27-2011","X","","","","","X","","","","","",""
"ADMINISTRATION DIRECTOR","operations","administration","","","","","","X","","","X","","","","","","","",""
"ADMINISTRATION OFFICER","operations","administration","","","","","","X","","","","","X","","","","","",""
"ADMINISTRATIVE ASSISTANT","operations","administration","Secretaries and administrative assistants","43","43-6000","43-6010","","X","","","","","X","","","","","",""
"ADMINISTRATOR","operations","administration","Administrative services and facilities managers","11","11-3000","11-3010","11-3012","X","","","","X","","","","","","",""
"ADOPTION COUNSELOR","industry-specific","social services","Counselors","21","21-1000","21-1010","","X","","","","","X","","","","","",""
"ADVISOR","operations","business development","","","","","","X","","","","","X","","","","","",""
"ADVISORY BOARD","board","board","","","","","","","","","","","","X","","","","",""
"ALTERNATE","non-job title","xxx","xxx","","","","","","","","","","","","","","","",""
"AMBASSADOR","non-job title","xxx","xxx","","","","","","","","","","","","","","","",""
"ANALYST","operations","administration","management analysts","13","13-1000","13-1110","13-1111","X","","","","","X","","","","","",""
"ARCHITECT","industry-specific","engineering and architecture","Architects, except naval","17","17-1000","17-1010","","X","","","","","X","","","","","",""
"ARCHIVES DIRECTOR","industry-specific","arts and history","","","","","","X","","","X","","","","","","","",""
"ARCHIVIST","industry-specific","arts and history","Archivists, Curators, and Museum Technicians","25","25-4000","25-4010","25-4011","X","","","","","X","","","","","",""
"ARTIST","industry-specific","arts and history","Artists and related workers","27","27-1000","27-1010","27-2013","X","","","","","X","","","","","",""
"ARTISTIC DIRECTOR","industry-specific","arts and history","Artists and related workers","27","27-1000","27-1010","27-1011","X","","","X","","","","","","","",""
"ARTISTIC LIAISON","industry-specific","arts and history","","","","","","X","","","","","X","","","","","",""
"ASSISTANT","operations","administration","Secretaries and administrative assistants","43","43-6000","43-6010","","X","","","","","X","","","","","",""
"ASSISTANT BUSINESS AGENT","operations","business development","","","","","","X","","","","","X","","","","","",""
"ASSISTANT CEO","operations","administration","Chief executives","11","11-1000","11-1010","11-1011","X","X","","","","","","","","","",""
"ASSISTANT CHIEF","","","","","","","","","","","","","","","","","","",""
"ASSISTANT CLERK","operations","administration","","","","","","X","","","","","X","","","","","",""
"ASSISTANT CURATOR","industry-specific","arts and history","","","","","","X","","","","","X","","","","","",""
"ASSISTANT DIRECTOR","operations","administration","General and operations manager","11","11-1000","11-1020","11-1021","X","","","X","","","","","","","",""
"ASSISTANT DIRECTOR OF MARKETING","operations","marketing-sales","","","","","","X","","","X","","","","","","","",""
"ASSISTANT REGISTRAR","industry-specific","higher education","","","","","","X","","","","","X","","","","","",""
"ASSISTANT SECRETARY","operations","administration","Secretaries and administrative assistants","43","43-6000","43-6010","","X","","","","","X","","","","","",""
"ASSISTANT TREASURER","board","board","board","board","board","board","board","","","","","","","X","","","","X",""
"ASSISTANT VICE PRESIDENT","operations","administration","General and operations manager","11","11-1000","11-1020","11-1021","X","","","X","","","","","","","",""
